id,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.166284079,53,0,0.18827406,8800,7,0,0,0,0
2,0.052436094,58,0,0.097672186,8333,22,0,1,0,0
3,0.452515828,24,0,0.011761247,3400,1,0,0,0,0
4,0.693329681,42,2,0.257731959,2230,7,0,0,0,0
5,0.881836362,50,3,0.567858035,4000,9,0,1,0,1
6,0.363636364,26,0,0.00999001,1000,1,0,0,0,0
7,0.71998531,41,1,0.539554464,5700,14,0,1,0,0
8,0.07289757,81,0,75,NA,7,0,0,0,0
9,0.728150491,31,0,0.824725092,3000,10,0,2,0,1
10,0.9999999,62,0,0,NA,1,0,0,0,0
11,0.028562367,51,0,0.306381499,5750,5,0,1,0,0
12,0.992015968,29,0,0.008064516,2231,1,0,0,0,0
13,0.541108804,43,0,2477,NA,3,0,1,0,2
14,0.655569945,35,0,0.261609907,5813,10,0,0,0,2
15,0.651603452,58,0,0.241135663,7783,11,0,1,0,0
16,0,67,0,0.540983607,3720,2,0,1,0,0
17,0.750873672,55,2,0.316416365,7723,17,0,1,0,1
18,0.006799093,27,1,0.681045752,764,3,0,0,0,0
19,0.142013011,67,0,1824,NA,7,0,2,0,0
20,0.460376317,37,0,0.074155949,4975,6,0,0,0,0
21,0,58,0,0.316144874,4886,9,0,1,0,1
22,0.360509632,58,1,3282,NA,8,0,2,0,0
23,0.003749688,64,0,0.004061231,3200,5,0,0,1,0
24,0.734477501,45,0,0.591477634,4716,13,0,2,0,2
25,0.080564168,60,0,0.487288997,4916,15,0,2,0,0
26,0.039387786,51,0,15466,0,7,0,0,0,0
27,0.784835658,52,0,2662,NA,10,0,2,1,0
28,0.791173628,44,0,0.51241535,3100,5,0,1,0,0
29,0.542242704,48,2,10,NA,2,0,0,0,NA
30,0.363199686,32,0,0.480523957,2900,4,0,1,0,0
31,0.032617977,75,0,0.006799093,7500,4,0,0,0,0
